#Table: J/MNRAS/423/1024/. (cdsarc.u-strasbg.fr)
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                                          |                     |             |      |    |     |      |      |      |                             | n_| z|          |          |          |     |  e_|    E|          |          |          |     |  e_|
      XMMXCS                  Name        |     RAdeg      DEdeg|       Counts|     z|r_z |n_z  |    TX|  e_TX|  E_TX|OName                        |zoo|oo|      L500|    e_L500|    E_L500| R500|R500|_R500|      L200|    e_L200|    E_L200| R200|R200|   E_
------------------------------------------|---------------------|-------------|------|----|-----|------|------|------|-----------------------------|---|--|----------|----------|----------|-----|----|-----|----------|----------|----------|-----|----|-----
XMMXCSJ011942.3-441019.2XMMXCSJ0119.7-4410| 19.926250 -44.172000|5.3132200e+02|  0.12|Lit |spec |  1.00|  0.20|  0.10|LCLG -45 044                 |dss|na|  0.033328|  0.023380|  0.034863|  393|  44|   32|  0.034297|  0.024348|  0.049820|  596|  67|   49
XMMXCSJ011951.9-441518.0XMMXCSJ0119.8-4415| 19.966250 -44.255000|3.6142100e+02|  0.12|Lit |spec |  1.50|  0.40|  0.50|LCLG -45 045                 |dss|na|  0.038925|  0.030749|  0.013481|  511|  83|   84|  0.052333|  0.041837|  0.021452|  775| 125|  128
XMMXCSJ011954.7+141655.1XMMXCSJ0119.9+1416| 19.977917  14.281972|9.3329600e+01|  0.55|NXS |phot |  4.50|  2.60|  4.70|                             |NXS|g |  1.243950|  0.799071|  1.193020|  595| 236|  303|  1.301520|  0.856590|  1.967700|  903| 357|  459
XMMXCSJ012400.0+035110.8XMMXCSJ0124.0+0351| 21.000000   3.853000|6.1002200e+01|  0.88|Spec|spec |  2.50|  0.70|  2.70|                             |dss|na|  2.888800|-99.000000|-99.000000|  282| 133|  303|  2.963100|-99.000000|-99.000000|  428| 202|  459
XMMXCSJ014430.3+021237.0XMMXCSJ0144.5+0212| 26.126250   2.210278|3.4077200e+02|  0.17|Lit |spec |  3.40|  0.80|  1.30|WARP J0144.5+0212            |dss|na|  0.243211|  0.121703|  0.240915|  769| 110|  157|  0.256885|  0.135323|  0.370076| 1167| 167|  239
XMMXCSJ014449.2-043246.1XMMXCSJ0144.8-0432| 26.205000  -4.546139|9.8336300e+02|  0.17|NXS |phot |  1.30|  0.10|  0.10|                             |NXS|g |  0.076190|  0.055569|  0.063180|  448|  15|   14|  0.118024|  0.097400|  0.154747|  680|  23|   21
XMMXCSJ014615.5-044031.9XMMXCSJ0146.2-0440| 26.564583  -4.675528|1.3239000e+02|  0.70|NXS |phot |-99.00|-99.00|-99.00|                             |NXS|s |-99.000000|-99.000000|-99.000000|  -99| -99|  -99|-99.000000|-99.000000|-99.000000|  -99| -99|  -99
XMMXCSJ015241.1-133855.9XMMXCSJ0152.6-1338| 28.171250 -13.648861|5.7468800e+02|  0.83|Spec|spec |  3.20|  0.40|  0.50|                             |dss|na|  1.351880|  0.364414|  0.842815|  360|  24|   27|  2.387020|  0.551815|  0.210765|  546|  37|   41
XMMXCSJ015242.2-135746.8XMMXCSJ0152.7-1357| 28.175833 -13.963000|5.9252800e+03|  0.83|Lit |spec |  7.20|  0.30|  0.30|WARP J0152.7-1357            |dss|na| 11.489400|  0.499238|  0.505382|  570|  13|   13| 17.622400|  0.436490|  0.403850|  864|  20|   20
XMMXCSJ015315.0+010214.2XMMXCSJ0153.2+0102| 28.312500   1.037278|2.0968200e+03|  0.06|LRG |spec |  1.08|  0.02|  0.02|RX J0153.2+0102              |DR7|s |  0.049408|  0.024874|  0.084144|  438|   5|    5|  0.051682|  0.026597|  0.106105|  664|   8|    7
