     z,M500,L500 Corrected,      L500,    TX,Kappa,,,,
0.47,192.7596847,0.860068795,1.25648,2.4,1.460906392,0.684506554,,,
0.59,198.9381822,1.192020248,1.74143,2.4,1.460906392,0.684506554,,,
0.65,201.6920008,1.387967094,2.02769,2.4,1.460906392,0.684506554,,,
0.83,93.86106475,0.568788667,0.830947,2.4,1.460906392,0.684506554,,,
0.37,145.7561475,0.42497757,0.630157,2.5,1.48280061,0.674399507,,,
0.88,187.7276468,1.948205295,2.8888,2.5,1.48280061,0.674399507,,,
0.33,188.9980265,0.586633155,0.86986,2.5,1.48280061,0.674399507,,,
0.64,86.74820004,0.340562309,0.504986,2.5,1.48280061,0.674399507,,,
0.22,105.5498208,0.166811369,0.247348,2.5,1.48280061,0.674399507,,,
0.37,128.2363539,0.344473826,0.510786,2.5,1.48280061,0.674399507,,,
0.3,127.8447474,0.285270991,0.423,2.5,1.48280061,0.674399507,,,
0.13,141.2490926,0.205706012,0.305021,2.5,1.48280061,0.674399507,,,
0.45,122.0801553,0.387598303,0.574731,2.5,1.48280061,0.674399507,,,
0.19,174.213606,0.347764222,0.515665,2.5,1.48280061,0.674399507,,,
0.24,327.064346,1.128418743,1.67322,2.5,1.48280061,0.674399507,,,
0.27,98.06348436,0.170169204,0.252327,2.5,1.48280061,0.674399507,,,
0.14,205.3932171,0.392016294,0.581282,2.5,1.48280061,0.674399507,,,
0.42,49.40634161,0.081716314,0.121169,2.5,1.48280061,0.674399507,,,
0.25,243.9615064,0.717609084,1.07985,2.6,1.504788644,0.664545153,,,
0.16,82.03500905,0.092482091,0.139166,2.6,1.504788644,0.664545153,,,
0.33,127.4261185,0.307326881,0.462462,2.6,1.504788644,0.664545153,,,
0.43,126.1673504,0.389695259,0.586409,2.6,1.504788644,0.664545153,,,
0.21,422.2361111,1.574546704,2.36936,2.6,1.504788644,0.664545153,,,
0.48,103.1599187,0.315914798,0.475385,2.6,1.504788644,0.664545153,,,
0.17,26.29363056,0.014746921,0.022191,2.6,1.504788644,0.664545153,,,
0.37,192.6547088,0.671516232,1.01049,2.6,1.504788644,0.664545153,,,
0.27,120.5370973,0.238696999,0.364462,2.7,1.526881369,0.654929728,,,
0.52,108.3615241,0.375961756,0.574049,2.7,1.526881369,0.654929728,,,
0.16,122.5154149,0.178538428,0.272607,2.7,1.526881369,0.654929728,,,
0.43,232.5919808,1.062643132,1.62253,2.7,1.526881369,0.654929728,,,
0.18,75.00098004,0.08476035,0.129419,2.7,1.526881369,0.654929728,,,
0.19,153.6058736,0.282891002,0.431941,2.7,1.526881369,0.654929728,,,
0.21,196.880993,0.450545808,0.68793,2.7,1.526881369,0.654929728,,,
0.11,241.3919715,0.465362938,0.710554,2.7,1.526881369,0.654929728,,,
0.21,160.9480744,0.323749736,0.501582,2.8,1.549289294,0.645457245,,,
0.18,70.95524282,0.07739226,0.119903,2.8,1.549289294,0.645457245,,,
0.32,180.345024,0.529072913,0.819687,2.8,1.549289294,0.645457245,,,
1.12,121.5742641,1.454828358,2.25395,2.8,1.549289294,0.645457245,,,
0.24,244.2841913,0.699230288,1.08331,2.8,1.549289294,0.645457245,,,
0.24,228.556791,0.626934559,0.971303,2.8,1.549289294,0.645457245,,,
0.12,64.64137056,0.055334543,0.086978,2.9,1.571857192,0.63619011,,,
0.43,154.4565287,0.54301816,0.853547,2.9,1.571857192,0.63619011,,,
0.23,193.0566411,0.4620477,0.726273,2.9,1.571857192,0.63619011,,,
0.44,110.8564568,0.322977814,0.507675,2.9,1.571857192,0.63619011,,,
0.17,37.60977401,0.026524038,0.041692,2.9,1.571857192,0.63619011,,,
0.59,70.57380371,0.217851852,0.342432,2.9,1.571857192,0.63619011,,,
0.3,184.7527269,0.521803128,0.8202,2.9,1.571857192,0.63619011,,,
0.42,294.6587411,1.528230435,2.40216,2.9,1.571857192,0.63619011,,,
0.49,96.09167387,0.287907198,0.452549,2.9,1.571857192,0.63619011,,,
0.07,72.42962149,0.056833154,0.090621,3,1.594509442,0.627152134,,,
0.23,122.9635418,0.220494147,0.35158,3,1.594509442,0.627152134,,,
0.15,62.27265362,0.057093422,0.091036,3,1.594509442,0.627152134,,,
0.11,221.9902752,0.405615033,0.646757,3,1.594509442,0.627152134,,,
0.55,153.6545728,0.713824559,1.1382,3,1.594509442,0.627152134,,,
0.53,261.1635305,1.627992868,2.59585,3,1.594509442,0.627152134,,,
0.41,131.8922117,0.398953465,0.645202,3.1,1.617236235,0.618338854,,,
0.5,119.3580754,0.420583577,0.680183,3.1,1.617236235,0.618338854,,,
0.09,166.7704403,0.238102506,0.385068,3.1,1.617236235,0.618338854,,,
0.15,191.6267927,0.360716991,0.591597,3.2,1.640058593,0.609734313,,,
0.83,117.6885364,0.824287623,1.35188,3.2,1.640058593,0.609734313,,,
0.27,121.0912476,0.240499334,0.394433,3.2,1.640058593,0.609734313,,,
0.13,128.455518,0.17604554,0.288725,3.2,1.640058593,0.609734313,,,
0.17,67.15978831,0.068644499,0.112581,3.2,1.640058593,0.609734313,,,
0.54,111.3862019,0.411738948,0.675276,3.2,1.640058593,0.609734313,,,
0.82,117.8313056,0.810239345,1.32884,3.2,1.640058593,0.609734313,,,
0.29,100.5925973,0.187399402,0.307346,3.2,1.640058593,0.609734313,,,
0.24,307.1423067,1.017908755,1.66943,3.2,1.640058593,0.609734313,,,
0.14,667.0392262,2.705647237,4.43742,3.2,1.640058593,0.609734313,,,
0.27,169.3224365,0.416774134,0.683534,3.2,1.640058593,0.609734313,,,
0.49,119.3523951,0.410819402,0.683179,3.3,1.662966736,0.601334939,,,
0.63,114.6119735,0.526368316,0.875333,3.3,1.662966736,0.601334939,,,
0.43,144.2338294,0.485335625,0.807097,3.3,1.662966736,0.601334939,,,
0.22,224.0836501,0.573360837,0.95348,3.3,1.662966736,0.601334939,,,
0.52,163.4494288,0.737729729,1.22682,3.3,1.662966736,0.601334939,,,
0.61,133.4007525,0.646615459,1.0753,3.3,1.662966736,0.601334939,,,
0.41,129.4828959,0.387071483,0.643687,3.3,1.662966736,0.601334939,,,
0.22,73.3325107,0.091799792,0.15266,3.3,1.662966736,0.601334939,,,
0.61,122.7611711,0.564217539,0.938275,3.3,1.662966736,0.601334939,,,
0.38,80.49001131,0.164622655,0.273762,3.3,1.662966736,0.601334939,,,
0.17,105.6266792,0.144256437,0.243211,3.4,1.68596289,0.593132865,,,
0.25,196.3768571,0.502746534,0.847612,3.4,1.68596289,0.593132865,,,
0.3,23.18293617,0.017344984,0.029243,3.4,1.68596289,0.593132865,,,
0.5,100.9301238,0.319454837,0.538589,3.4,1.68596289,0.593132865,,,
0.27,212.4142356,0.60449136,1.01915,3.4,1.68596289,0.593132865,,,
0.19,186.1417346,0.387662744,0.653585,3.4,1.68596289,0.593132865,,,
0.48,129.1160106,0.456477426,0.769604,3.4,1.68596289,0.593132865,,,
0.34,256.2971186,0.992435842,1.67321,3.4,1.68596289,0.593132865,,,
0.34,61.44900981,0.095395338,0.160833,3.4,1.68596289,0.593132865,,,
0.12,175.3710599,0.284347896,0.4794,3.4,1.68596289,0.593132865,,,
0.73,132.9624764,0.827128559,1.41323,3.5,1.708597756,0.585275262,,,
0.4,234.0961741,0.997127612,1.70369,3.5,1.708597756,0.585275262,,,
0.56,125.7377457,0.525479445,0.897833,3.5,1.708597756,0.585275262,,,
0.11,236.493519,0.449976595,0.768829,3.5,1.708597756,0.585275262,,,
0.88,94.81436527,0.635509438,1.08583,3.5,1.708597756,0.585275262,,,
0.29,269.0543826,0.940800721,1.60745,3.5,1.708597756,0.585275262,,,
0.49,109.1495751,0.35481669,0.606239,3.5,1.708597756,0.585275262,,,
0.33,207.7247409,0.68494764,1.1703,3.5,1.708597756,0.585275262,,,
0.06,226.9618189,0.357955521,0.611602,3.5,1.708597756,0.585275262,,,
0.14,944.1719912,4.78351064,8.21616,3.54,1.717600444,0.582207581,,,
1.05,156.0188762,1.947354289,3.37113,3.6,1.731133374,0.577656242,,,
0.84,126.024602,0.939950685,1.62718,3.6,1.731133374,0.577656242,,,
0.32,237.663517,0.831923191,1.44017,3.6,1.731133374,0.577656242,,,
0.41,129.0018983,0.384716169,0.665995,3.6,1.731133374,0.577656242,,,
0.58,164.3915729,0.852782358,1.47628,3.6,1.731133374,0.577656242,,,
0.56,323.5324573,2.475696018,4.28576,3.6,1.731133374,0.577656242,,,
0.49,56.20805584,0.119486138,0.209553,3.7,1.753785031,0.57019531,,,
0.14,142.9264715,0.216295608,0.379336,3.7,1.753785031,0.57019531,,,
0.48,95.47798331,0.278261584,0.488011,3.7,1.753785031,0.57019531,,,
0.69,89.68276177,0.39952331,0.700678,3.7,1.753785031,0.57019531,,,
0.45,176.872527,0.711945864,1.2486,3.7,1.753785031,0.57019531,,,
0.45,279.0721166,1.504038382,2.63776,3.7,1.753785031,0.57019531,,,
0.4,336.5665338,1.808591101,3.17188,3.7,1.753785031,0.57019531,,,
0.24,142.4282941,0.288648779,0.512797,3.8,1.776543111,0.562890928,,,
0.2,177.2852379,0.368513433,0.65468,3.8,1.776543111,0.562890928,,,
0.09,103.0255942,0.108073369,0.191997,3.8,1.776543111,0.562890928,,,
0.21,199.6572831,0.461012173,0.819008,3.8,1.776543111,0.562890928,,,
0.81,100.3412405,0.610656909,1.09882,3.9,1.799406481,0.555738801,,,
0.49,255.7613566,1.433828336,2.58004,3.9,1.799406481,0.555738801,,,
0.23,292.7456605,0.914551558,1.64565,3.9,1.799406481,0.555738801,,,
0.47,103.5864248,0.310601304,0.558898,3.9,1.799406481,0.555738801,,,
0.42,259.8481765,1.243498911,2.23756,3.9,1.799406481,0.555738801,,,
0.24,845.5744932,5.357977812,9.64118,3.9,1.799406481,0.555738801,,,
0.2,36.97894207,0.028188739,0.050723,3.9,1.799406481,0.555738801,,,
0.25,200.8517706,0.521671457,0.938699,3.9,1.799406481,0.555738801,,,
0.3,224.2951214,0.717203152,1.29054,3.9,1.799406481,0.555738801,,,
0.6,96.13715589,0.369706904,0.665253,3.9,1.799406481,0.555738801,,,
0.22,187.6607648,0.428635224,0.771289,3.9,1.799406481,0.555738801,,,
0.58,130.9186836,0.587054494,1.06983,4,1.822369152,0.548736242,,,
0.41,140.4463192,0.442262205,0.805965,4,1.822369152,0.548736242,,,
0.93,57.22098371,0.30432473,0.554592,4,1.822369152,0.548736242,,,
0.23,274.5950654,0.823417143,1.50057,4,1.822369152,0.548736242,,,
0.32,110.2246425,0.235961835,0.435456,4.1,1.845450982,0.541872968,,,
0.26,187.1588456,0.477768854,0.881699,4.1,1.845450982,0.541872968,,,
0.25,142.7823136,0.298089738,0.55011,4.1,1.845450982,0.541872968,,,
0.65,171.0413027,1.059193671,1.95469,4.1,1.845450982,0.541872968,,,
0.53,270.1805237,1.721189038,3.17637,4.1,1.845450982,0.541872968,,,
0.38,181.8958312,0.62687658,1.15687,4.1,1.845450982,0.541872968,,,
0.6,147.131007,0.742934932,1.37105,4.1,1.845450982,0.541872968,,,
0.34,265.7995626,1.053493167,1.94417,4.1,1.845450982,0.541872968,,,
0.3,111.2540384,0.227120094,0.419139,4.1,1.845450982,0.541872968,,,
0.65,91.22531926,0.377814818,0.706,4.2,1.868640314,0.535148467,,,
